timeframe,setup,rr,feature,mode,pct,threshold,trades_train,win_rate_train_num,win_rate_train,delta_vs_base_train_num,delta_vs_base_train,trades_test,win_rate_test_num,win_rate_test,delta_vs_base_test_num,delta_vs_base_test
1h,PFR,1.5,new_high_event,high,30,0.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,new_high_event,high,40,0.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,new_high_event,high,50,0.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,new_high_event,high,60,0.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,last_new_high,high,40,41739.7,129,44.96124031007752,"45,0%",3.346333477779382,"3,3%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,last_new_high,high,50,37107.75,161,44.72049689440994,"44,7%",3.1055900621118013,"3,1%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,last_new_high,high,60,28463.18,193,46.63212435233161,"46,6%",5.017217520033469,"5,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,after_new_high_recent_flag,low,40,1.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,after_new_high_recent_flag,low,50,1.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,after_new_high_recent_flag,low,60,1.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
1h,PFR,1.5,context_after_extreme_flag_v2,low,40,1.0,322,41.61490683229814,"41,6%",0.0,"0,0%",81,34.5679012345679,"34,6%",0.0,"0,0%"
